Czas[s];Temperatura[C];Moc[W]
152,5;21,0606;10 000
153;21,038;0
153,5;21,0153;0
154;20,9927;0
154,5;21,0711;10 000
155;21,0485;0
155,5;21,0258;0
156;21,0032;0
156,5;20,9805;0
157;21,059;10 000
157,5;21,0364;0
158;21,0137;0
158,5;20,9911;0
159;21,0695;10 000
159,5;21,0469;0
160;21,0242;0
160,5;21,0016;0
161;20,9789;0
161,5;21,0574;10 000
162;21,0347;0
162,5;21,0121;0
163;20,9895;0
163,5;21,0679;10 000
164;21,0453;0
164,5;21,0226;0
165;21;0
165,5;21,0784;10 000
166;21,0557;0
166,5;21,0331;0
167;21,0104;0
167,5;20,9878;0
168;21,0663;10 000
168,5;21,0436;0
169;21,0209;0
169,5;20,9983;0
170;21,0768;10 000
170,5;21,0541;0
171;21,0314;0
171,5;21,0088;0
172;20,9861;0
172,5;21,0646;10 000
173;21,042;0
173,5;21,0193;0
174;20,9967;0
174,5;21,0751;10 000
175;21,0525;0
175,5;21,0298;0
176;21,0071;0
176,5;20,9845;0
177;21,063;10 000
177,5;21,0403;0
178;21,0177;0
178,5;20,995;0
179;21,0735;10 000
179,5;21,0508;0
180;21,0282;0
180,5;21,0055;0
181;20,9829;0
181,5;21,0613;10 000
182;21,0387;0
182,5;21,016;0
183;20,9934;0
183,5;21,0719;10 000
184;21,0492;0
184,5;21,0265;0
185;21,0039;0
185,5;20,9813;0
186;21,0597;10 000
186,5;21,0371;0
187;21,0144;0
187,5;20,9918;0
188;21,0702;10 000
188,5;21,0476;0
189;21,0249;0
189,5;21,0023;0
190;20,9796;0
190,5;21,0581;10 000
191;21,0354;0
191,5;21,0128;0
192;20,9902;0
192,5;21,0686;10 000
193;21,046;0
193,5;21,0233;0
194;21,0007;0
194,5;20,978;0
195;21,0565;10 000
195,5;21,0338;0
196;21,0112;0
196,5;20,9886;0
197;21,067;10 000
197,5;21,0444;0
198;21,0217;0
198,5;20,9991;0
199;21,0775;10 000
199,5;21,0548;0
200;21,0322;0
200,5;21,0095;0
201;20,9869;0
201,5;21,0654;10 000
202;21,0427;0
202,5;21,0201;0
203;20,9974;0
203,5;21,0759;10 000
204;21,0532;0
204,5;21,0305;0
205;21,0079;0
205,5;20,9853;0
206;21,0637;10 000
206,5;21,0411;0
207;21,0184;0
207,5;20,9958;0
208;21,0742;10 000
208,5;21,0516;0
209;21,0289;0
209,5;21,0063;0
210;20,9836;0
210,5;21,0621;10 000
211;21,0394;0
211,5;21,0168;0
212;20,9941;0
212,5;21,0726;10 000
213;21,0499;0
213,5;21,0273;0
214;21,0046;0
214,5;20,982;0
215;21,0605;10 000
215,5;21,0378;0
216;21,0151;0
216,5;20,9925;0
217;21,071;10 000
217,5;21,0483;0
218;21,0256;0
218,5;21,003;0
219;20,9804;0
219,5;21,0588;10 000
220;21,0362;0
220,5;21,0135;0
221;20,9909;0
221,5;21,0694;10 000
222;21,0467;0
222,5;21,024;0
223;21,0014;0
223,5;20,9788;0
224;21,0572;10 000
224,5;21,0346;0
225;21,0119;0
225,5;20,9893;0
226;21,0677;10 000
226,5;21,0451;0
227;21,0224;0
