Czas[s];Temperatura[C];Moc[W]
115;20,9777;2 242,9
115,5;20,9778;2 242,92
116;20,9778;2 242,94
116,5;20,9779;2 242,94
117;20,9779;2 242,94
117,5;20,978;2 242,94
118;20,978;2 242,93
118,5;20,9781;2 242,91
119;20,9781;2 242,89
119,5;20,9782;2 242,87
120;20,9783;2 242,83
120,5;20,9783;2 242,8
121;20,9784;2 242,75
121,5;20,9784;2 242,78
122;20,9785;2 242,81
122,5;20,9785;2 242,74
123;20,9786;2 242,76
123,5;20,9786;2 242,77
124;20,9787;2 242,77
124,5;20,9787;2 242,76
125;20,9788;2 242,75
125,5;20,9788;2 242,74
126;20,9789;2 242,72
126,5;20,9789;2 242,69
127;20,979;2 242,66
127,5;20,9791;2 242,62
128;20,9791;2 242,66
128,5;20,9792;2 242,61
129;20,9792;2 242,64
129,5;20,9793;2 242,66
130;20,9793;2 242,59
130,5;20,9794;2 242,61
131;20,9794;2 242,61
131,5;20,9795;2 242,61
132;20,9795;2 242,6
132,5;20,9796;2 242,59
133;20,9796;2 242,57
133,5;20,9797;2 242,55
134;20,9797;2 242,52
134,5;20,9798;2 242,49
135;20,9798;2 242,53
135,5;20,9799;2 242,48
136;20,9799;2 242,52
136,5;20,98;2 242,46
137;20,98;2 242,48
137,5;20,9801;2 242,5
138;20,9801;2 242,5
138,5;20,9802;2 242,51
139;20,9802;2 242,51
139,5;20,9803;2 242,5
140;20,9803;2 242,49
140,5;20,9804;2 242,47
141;20,9804;2 242,45
141,5;20,9805;2 242,43
142;20,9805;2 242,39
142,5;20,9806;2 242,36
143;20,9806;2 242,32
143,5;20,9807;2 242,35
144;20,9807;2 242,38
144,5;20,9808;2 242,32
145;20,9808;2 242,34
145,5;20,9809;2 242,35
146;20,9809;2 242,36
146,5;20,981;2 242,36
147;20,981;2 242,35
147,5;20,9811;2 242,35
148;20,9811;2 242,33
148,5;20,9811;2 242,32
149;20,9812;2 242,29
149,5;20,9812;2 242,27
150;20,9813;2 242,24
150,5;20,9813;2 242,2
151;20,9814;2 242,24
151,5;20,9814;2 242,19
152;20,9815;2 242,22
152,5;20,9815;2 242,16
153;20,9816;2 242,18
153,5;20,9816;2 242,19
154;20,9817;2 242,2
154,5;20,9817;2 242,2
155;20,9818;2 242,2
155,5;20,9818;2 242,2
156;20,9818;2 242,18
156,5;20,9819;2 242,17
157;20,9819;2 242,15
157,5;20,982;2 242,12
158;20,982;2 242,09
158,5;20,9821;2 242,06
159;20,9821;2 242,02
159,5;20,9822;2 242,06
160;20,9822;2 242,01
160,5;20,9823;2 242,04
161;20,9823;2 242,06
161,5;20,9823;2 242,07
162;20,9824;2 242
162,5;20,9824;2 242,02
163;20,9825;2 242,02
163,5;20,9825;2 242,02
164;20,9826;2 242,01
164,5;20,9826;2 242
165;20,9826;2 241,98
165,5;20,9827;2 241,96
166;20,9827;2 241,94
166,5;20,9828;2 241,91
167;20,9828;2 241,88
167,5;20,9829;2 241,92
168;20,9829;2 241,88
168,5;20,983;2 241,91
169;20,983;2 241,86
169,5;20,983;2 241,89
170;20,9831;2 241,9
170,5;20,9831;2 241,92
171;20,9832;2 241,93
171,5;20,9832;2 241,85
172;20,9832;2 241,86
172,5;20,9833;2 241,85
173;20,9833;2 241,85
173,5;20,9834;2 241,84
174;20,9834;2 241,82
174,5;20,9835;2 241,8
175;20,9835;2 241,78
175,5;20,9835;2 241,75
176;20,9836;2 241,8
